;source;target;weight
0;lt;op3;True
1;lt;op6;True
2;lt;sv2;True
3;lt;sv4;True
4;lt;sv5;True
5;lt;sv6;True
6;lt;score_p;True
7;op3;op5;True
8;op3;sv3;True
9;op3;estado;True
10;op4;op5;True
11;op5;programa;True
12;sv1;score_p;True
13;sv1;score_d;True
14;sv1;estado;True
15;sv2;op1;True
16;sv2;op2;True
17;sv2;sv1;True
18;sv2;sv4;True
19;sv2;score_p;True
20;sv2;estado;True
21;sv3;sv6;True
22;sv4;op2;True
23;sv4;op4;True
24;sv5;op2;True
25;sv5;op5;True
26;sv5;sv4;True
27;sv5;score_p;True
28;sv6;op1;True
29;sv6;op6;True
30;sv6;programa;True
31;score;score_a;True
32;score_a;op1;True
33;score_a;score_d;True
34;score_p;score;True
35;score_p;estado;True
36;score_d;score_s;True
37;programa;estado;True
38;final;tt;True
39;final;pt;True
40;final;game_score;True
41;estado;op1;True
