;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;tt;final;True
4;pt;tt;True
5;pt;game_score;True
6;op1;op5;True
7;op1;estado;True
8;op2;sv2;True
9;op3;sv3;True
10;op4;op5;True
11;op4;estado;True
12;op5;op3;True
13;op5;op6;True
14;op6;op2;True
15;op6;sv2;True
16;sv2;sv1;True
17;sv4;op1;True
18;sv4;op4;True
19;sv4;op5;True
20;sv4;sv5;True
21;sv4;sv6;True
22;sv5;op3;True
23;sv5;op5;True
24;sv6;op2;True
25;sv6;op6;True
26;score;score_p;True
27;score_a;op1;True
28;score_a;score;True
29;score_a;score_p;True
30;score_p;op1;True
31;score_p;op2;True
32;score_p;op3;True
33;score_p;estado;True
34;score_d;op1;True
35;score_d;op2;True
36;score_d;score_a;True
37;score_s;score_d;True
38;programa;op1;True
39;programa;estado;True
40;estado;op2;True
41;estado;op3;True
42;estado;op5;True
43;estado;op6;True
44;estado;sv1;True
45;estado;sv5;True
46;estado;sv6;True
