;source;target;weight
0;lt;sv5;True
1;op1;op4;True
2;op1;op5;True
3;op1;op6;True
4;op4;op5;True
5;op5;op6;True
6;sv1;op4;True
7;sv1;sv2;True
8;sv2;op1;True
9;sv2;op6;True
10;sv2;programa;True
11;sv2;estado;True
12;sv5;op1;True
13;sv5;op4;True
14;sv5;op5;True
15;sv5;op6;True
16;sv5;sv2;True
17;sv5;score;True
18;sv5;score_s;True
19;sv5;programa;True
20;score;score_a;True
21;score;score_p;True
22;score_a;op1;True
23;score_a;op4;True
24;score_a;sv2;True
25;score_a;score_p;True
26;score_a;programa;True
27;score_a;estado;True
28;score_p;op1;True
29;score_p;op6;True
30;score_d;op4;True
31;score_d;score;True
32;score_d;estado;True
33;score_s;op1;True
34;score_s;op4;True
35;score_s;score;True
36;score_s;score_d;True
37;score_s;programa;True
38;programa;op1;True
39;programa;op4;True
40;programa;estado;True
41;estado;op1;True
42;estado;op4;True
43;estado;op5;True
44;estado;op6;True
