;source;target;weight
0;lt;op2;True
1;lt;op3;True
2;lt;op4;True
3;lt;op5;True
4;lt;op6;True
5;lt;sv4;True
6;lt;sv6;True
7;tt;final;True
8;pt;game_score;True
9;pt;sv5;True
10;pt;score_p;True
11;game_score;tt;True
12;op2;sv2;True
13;op3;op5;True
14;op3;sv3;True
15;op4;op5;True
16;op5;programa;True
17;op6;op5;True
18;sv1;lt;True
19;sv1;pt;True
20;sv1;op1;True
21;sv1;sv2;True
22;sv1;score_d;True
23;sv1;programa;True
24;sv1;estado;True
25;sv2;sv4;True
26;sv4;op1;True
27;sv4;op4;True
28;sv5;lt;True
29;sv5;sv4;True
30;sv5;score_p;True
31;sv6;op5;True
32;sv6;op6;True
33;sv6;programa;True
34;score;score_a;True
35;score_a;op1;True
36;score_p;score;True
37;score_d;score;True
38;score_d;estado;True
39;score_s;op1;True
40;score_s;score_d;True
41;estado;op2;True
42;estado;programa;True
